epoch,time,train/box_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
32,3312.06,1.58192,0.72661,0.00364,0.7942,0.79189,0.7319,0.26942,2.02419,1.00896,0.00528,0.011586,0.003862,0.011586,0.003862,0.011586,0.003862,0.011586,0.003862
33,3418.83,1.55689,0.72756,0.00358,0.79064,0.78813,0.72704,0.26888,2.02277,1.02318,0.00527,0.010992,0.003664,0.010992,0.003664,0.010992,0.003664,0.010992,0.003664
34,3523.09,1.54399,0.70392,0.00354,0.78857,0.78568,0.72122,0.26565,2.03235,1.0395,0.0053,0.010398,0.003466,0.010398,0.003466,0.010398,0.003466,0.010398,0.003466
35,3624.11,1.52377,0.68633,0.00346,0.7854,0.78144,0.71589,0.26172,2.05398,1.04126,0.00536,0.009804,0.003268,0.009804,0.003268,0.009804,0.003268,0.009804,0.003268
36,3727.96,1.50382,0.68181,0.00343,0.7858,0.78429,0.71366,0.25876,2.07554,1.04267,0.00543,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307
37,3831.4,1.48324,0.68212,0.00339,0.77525,0.77977,0.70228,0.25408,2.09597,1.04324,0.00549,0.008616,0.002872,0.008616,0.002872,0.008616,0.002872,0.008616,0.002872
38,3934.44,1.47346,0.6821,0.00337,0.77594,0.77602,0.69817,0.25124,2.10292,1.04404,0.00551,0.008022,0.002674,0.008022,0.002674,0.008022,0.002674,0.008022,0.002674
39,4038.93,1.45763,0.65022,0.00331,0.77727,0.7787,0.6986,0.25017,2.11551,1.04182,0.00554,0.007428,0.002476,0.007428,0.002476,0.007428,0.002476,0.007428,0.002476
40,4144.65,1.42394,0.63616,0.00321,0.77457,0.77817,0.69578,0.24825,2.12287,1.04206,0.00556,0.006834,0.002278,0.006834,0.002278,0.006834,0.002278,0.006834,0.002278
41,4245.89,1.28735,0.55688,0.00344,0.77237,0.77709,0.6921,0.24619,2.13177,1.04406,0.00558,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208
42,4345.72,1.24223,0.5145,0.00329,0.76899,0.77495,0.68864,0.24409,2.14279,1.04362,0.00561,0.005646,0.001882,0.005646,0.001882,0.005646,0.001882,0.005646,0.001882
43,4446.27,1.21868,0.50013,0.00321,0.76433,0.77777,0.68695,0.24265,2.15591,1.04027,0.00564,0.005052,0.001684,0.005052,0.001684,0.005052,0.001684,0.005052,0.001684
44,4547.06,1.18854,0.4945,0.00313,0.76373,0.77521,0.68326,0.24095,2.16363,1.04156,0.00567,0.004458,0.001486,0.004458,0.001486,0.004458,0.001486,0.004458,0.001486
45,4648.04,1.16814,0.47517,0.00305,0.76118,0.77843,0.68298,0.2396,2.17061,1.03791,0.00568,0.003864,0.001288,0.003864,0.001288,0.003864,0.001288,0.003864,0.001288
46,4749.85,1.146,0.46649,0.00298,0.75894,0.77709,0.68014,0.23808,2.17705,1.03993,0.00569,0.00327,0.00109,0.00327,0.00109,0.00327,0.00109,0.00327,0.00109
47,4850.58,1.11831,0.45547,0.00289,0.75788,0.77585,0.67653,0.2368,2.17968,1.0444,0.0057,0.002676,0.000892,0.002676,0.000892,0.002676,0.000892,0.002676,0.000892
48,4950.89,1.1004,0.45698,0.00284,0.75758,0.77307,0.67334,0.23532,2.18236,1.04675,0.00571,0.002082,0.000694,0.002082,0.000694,0.002082,0.000694,0.002082,0.000694
49,5051.66,1.08636,0.44121,0.00279,0.76095,0.77189,0.67212,0.23476,2.19056,1.0434,0.00573,0.001488,0.000496,0.001488,0.000496,0.001488,0.000496,0.001488,0.000496
50,5152.2,1.0686,0.43552,0.00276,0.76234,0.77095,0.67068,0.23457,2.19265,1.04628,0.00573,0.000894,0.000298,0.000894,0.000298,0.000894,0.000298,0.000894,0.000298
